"","treatment_stool","visit_stool","antibiotics_stool","age_stool","sex_stool","NSAIDS_use_stool","BMI_stool","interaction_stool","subject_stool","treatment_swab","visit_swab","antibiotics_swab","age_swab","sex_swab","NSAIDS_use_swab","BMI_swab","interaction_swab","subject_swab","treatment_tissue","visit_tissue","antibiotics_tissue","age_tissue","sex_tissue","NSAIDS_use_tissue","BMI_tissue","interaction_tissue","subject_tissue"
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.176726226694538,0.420966166948001,0.517667048184128,1.59513932803574,0.314329588865547,1.20371785509543,0.167348627952445,-0.364061024719761,2.00448278575687,-0.560385009686207,-0.878413135880858,0.44106256203984,0.785168697527131,0.0497638022030674,0.673280323349421,-0.0292949947522206,1.69369017361162,6.20283453733022,0.300238268269854,-0.0721485183446499,-0.404837478553744,0.532915146221294,-0.646440191173194,-0.141615996277968,-0.088745374952083,0.662294066861311,0.829007024881863
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.381306538274015,0.329581034094038,0.639621688423212,0.855197168815127,0.0976344009719415,1.06980538661081,0.159432802659572,-0.451297631888112,2.37675229254619,-1.05166058211235,-1.52038986259884,0.898691874135369,0.856985401828129,-0.0404256691857203,0.883513346859852,-0.106779685551614,1.80709809869689,4.14463384550608,0.0288870503140222,-0.940374975121592,-0.254850533674577,0.810202575916386,-0.707131514079069,-0.228734611433009,0.119323897755294,1.11877118480558,1.07526939104822
"ARO-PWY: chorismate biosynthesis I",-1.11232883766362,-0.539754028581085,-0.925133199442071,0.328745907083457,-0.368914044161608,-0.700088988041588,1.09231998230107,1.33973836992333,15.2294583770841,0.561169392069712,-0.192652404928206,-0.734320801351483,-0.133286347292161,-0.032677969726642,0.0906545972841801,0.358929542927285,-0.268652422123464,5.68022517533874,0.0216702815833473,0.550052473708808,-0.217958952414678,0.483246813379001,-0.494943903096628,0.0130079954295147,1.39587787971636,-0.0810302181063194,0.000307973411722451
"ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis",0.942989885486947,1.38692077197183,0.273516799752477,-0.326108805282711,0.0928963193337676,0.230500131650048,-0.926943434788923,-1.66282851026319,11.5180794647344,-0.281269627384513,0.00394901108397589,0.0482372626971688,-0.880074427434487,0.952761390747059,-0.214508733242055,-0.785695330205716,0.559292253445562,7.35452542178849,0.210210006606784,0.985585294029527,1.4379998126587,-0.302447715137749,0.954038321595188,-0.126243055120455,-0.816528530866479,-1.3771894634587,0.000340381813703465
"AST-PWY: L-arginine degradation II (AST pathway)",0.741699549305689,-0.0681141790580914,0.266716247362698,0.0417093940830649,0.259125195546738,1.32124187604225,0.214856702581231,-0.62398103071144,7.17201966887132,0.115043340718766,0.0561068238920317,0.219694499401719,-0.512182290520471,0.341366815769865,0.465099850027662,-0.472964981355454,0.250093844481094,8.84814929855815,0.264192546507285,-0.552921533613593,-0.233258442932044,0.125043749331455,0.304358007344735,-0.544983391766041,-0.225902477315945,-0.0375547086305839,0.37477036082744
"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I",0.771655333307749,-0.121315121991574,0.522616671470722,0.327462053530665,1.04454293516972,1.52452037816701,-0.0694450793253391,-0.0566664085686792,15.9513686039788,0.0665418705824672,0.612605317601037,0.572997426849467,-0.123771426861826,0.996442180981318,0.129535929207069,-0.181693149311459,0.0813643413544613,6.53494259589526,-0.211692560261873,-0.894197056665744,-0.172957708057155,0.826242749472495,0.479760870278732,-0.365124060275811,0.414392783211788,1.05490456425568,2.09356721138962
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis",-1.06102079892736,-0.119284211633105,0.0332542814932107,0.676165329828855,-1.54360417566069,-0.100271742978972,1.5505080312706,0.999952260134417,12.0439252895702,0.143423980005587,0.1418008302428,-0.215114774299983,0.274998882978271,-0.0616506954826455,-1.50432040012386,-0.00819462228458025,-0.336296125568936,9.01446102418071,0.00185984173813356,0.417773345580735,-0.352324338110582,0.159609596502203,-1.04653391041096,-0.27017312205366,-0.0318152436776091,-0.125192845581849,0.644504387082411
"CALVIN-PWY: Calvin-Benson-Bassham cycle",-0.647977214220441,1.07545101284486,-1.56694057628896,0.327830821200389,-0.505802657692264,-1.10647482368091,0.384200943437733,0.0672327490039763,13.5012757186617,-0.290791694646847,-0.0935753992328736,-1.03884978305273,0.678784789558824,-0.539787344926598,-0.51386652636627,0.260158630475879,0.315298013572726,7.89636386279251,0.0859109871001053,2.33041949418691,0.715833413681634,0.199250036302693,-0.788693035248378,-0.171220484144087,-0.12680321187974,-0.658920225224365,0.487914896382385
"CENTFERM-PWY: pyruvate fermentation to butanoate",-0.00585277694904132,0.708841165795275,-0.399585321023533,0.272070398943638,2.00339304083265,0.616494657511649,0.10976863814856,-0.695003114484106,10.8849115304937,-0.101507597239347,-0.401926234102941,-1.58150216026702,-0.198464859086257,-0.149723630546429,0.785069372702227,0.0132000843870955,0.2156564077425,3.54593786803754,-0.0685999752967769,0.410865412206154,-0.659595965476647,-0.37362442688778,-0.756035657744498,0.566255140591415,0.0602415634060501,-0.256356075725047,0.000229882947029687
"CITRULBIO-PWY: L-citrulline biosynthesis",0.0616385934355666,-0.18591533647608,0.923654171462793,-0.867232581598914,0.0400667243508476,-0.0628401686577255,-1.12440032845914,0.33882983205763,3.3818015005207,-0.382056385315445,-1.08326514380715,0.599399311201551,-0.325989970809251,-2.13828128185171,0.278022861037757,0.282934891208529,0.484381652855099,3.42525414124443,0.593423400381795,0.244710518721656,-0.0314105203325309,0.512951825851451,-0.462279362127864,-1.8260150692816,1.69315156989222,-0.0613302842095688,0.1838298410609
"COA-PWY-1: coenzyme A biosynthesis II (mammalian)",0.0404381583685026,0.280565517175557,-1.30841700137368,-1.0474456820104,-0.0247734061718158,-1.37685481730702,0.788513808259793,-0.121493109075594,9.33495115664261,0.379138836115258,0.661305983702762,-0.859066932339536,-0.126700769829016,-1.28467251379105,-0.37226509297155,0.193886609598024,-1.36625150570144,3.64364216379111,-0.156845185906718,1.21499285483454,-0.6158840924446,-0.230298657035329,0.0793823084219774,0.172933767404977,0.407407512641261,-0.630912677169691,0.786570963772144
"COA-PWY: coenzyme A biosynthesis I",-0.75376836447635,-0.251121954408064,0.126914867814189,-0.168197303134697,-1.57416603095721,-0.263372924956156,1.53602540950616,0.897950082321992,8.45539439283831,0.851658505625222,0.574296696556645,-0.178069943168133,-0.605648474937668,-1.35949328065297,-0.310258320873575,-0.12705015144337,-0.974064059306807,1.03698178692441,0.187795306711573,-0.152768447012065,-0.0734576298211015,-0.172259490632633,-0.348634701419566,-0.505213364051376,0.115405027768369,-0.118523943061648,1.66983387837563
"COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I",-0.0451729781347755,0.825421240557723,-0.624509866841815,-0.517522895855436,0.949501561291629,0.211244614459989,-0.77198657061837,-0.197163470510854,3.52310244117706,-0.0241191126741613,0.248604236247791,-1.01558517875998,-0.650940537937755,0.875369124236881,-0.0040054545149088,-0.218662997042381,0.15920560242455,10.3410489803621,0.759590127395836,0.120934454435211,-1.53208544527237,-0.505869610339139,0.239256749771799,0.105623014386538,-0.355246309777566,-0.264341403802107,0.0548016792363715
"COLANSYN-PWY: colanic acid building blocks biosynthesis",-0.241539031214197,0.260311889578331,0.748958031103284,-0.0030407476649585,1.19658337943884,1.05125827431961,-1.20176671502205,-0.354930964456016,10.573290609481,-0.967306806397833,-0.50315942143519,0.138253387370053,-0.0259106947025526,0.811402321807387,-0.122603481948719,-0.0473612466598634,2.07654975175255,7.87022458194628,-0.392823003784936,-0.397486418648216,-0.119364110713457,-0.106384917309038,-0.0154662453165711,-0.229219206329811,0.042044307249497,0.248296929582105,0.116493890471749
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",-1.04811364100407,-0.709610073290742,-0.833039814243698,0.186211512314427,-0.416047725506932,-0.640460209484134,1.10647344661913,1.68777162589462,14.5382929864692,0.601361181301163,-0.140482861152971,-0.505371484369359,-0.140535121986713,-0.0193251808791,0.010591907900588,0.432685544585918,-0.392210149152313,4.23633712110235,0.161726750386065,0.782401091759062,-0.300786278830654,0.312319023850535,-0.408089903794741,0.139696444216813,1.41175691847854,-0.214666744436772,0.000323073944255046
"CRNFORCAT-PWY: creatinine degradation I",0.693164337497241,0.482013819796116,0.247766405561391,-0.455110973589906,-0.0228462946466529,1.09819988194809,-0.451807625686658,-0.927094512695376,19.3469530405425,0.295298520447163,-0.613800330786808,0.940473323351173,-0.0156360635570747,-0.158530219056692,1.00986359140494,-0.230024155975373,-0.0391636701875914,17.1416651228301,0.172328698246337,0.822369837945181,0.366485666507598,-0.595140348540844,-0.786342255908861,0.93760349184725,0.871573113865565,-0.342312702466586,0.000246874264594406
"DAPLYSINESYN-PWY: L-lysine biosynthesis I",0.22778762135328,0.574434129779493,-0.488784135899123,0.307492570394798,0.704520403496585,0.402942585305243,-1.07426180655599,-0.674836579729032,10.2600698153803,-0.299418607252659,0.218357551072935,0.151970215465814,0.116684530448149,-0.379768117267103,0.274691275220889,-1.29043445528147,0.0148404925121707,1.07894811673471,0.137015982232859,0.378706285403336,-0.256101354772036,0.0346181055795006,0.20884097861397,-0.206349692539902,0.073771330727028,-0.0186126998931627,0.241072617519098
"DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II",-0.92887236965143,0.358362036537731,-1.65891702374469,0.210263015489613,-0.00429806579225253,-1.77248840729941,-0.0826188671945228,-0.0865128551422355,9.65206068978231,-0.363037935504545,-0.116071981203652,-1.02798690266783,-0.121341635119782,0.232801208730508,-0.715495967978483,0.110168290361647,0.378528599053477,7.67109614767534,0.628500111114886,0.01046194287071,-0.628176687661689,0.0331232719143502,-0.736651067522806,-0.655656048643782,3.12928264915386,-0.4466180617316,0.31471295874692
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I",0.0441645618169224,1.43028745559721,-0.0880957495907025,-0.559680447030878,0.295617478960564,0.0778183338540798,-0.301286154558171,-1.18710502972185,9.82286533262582,0.0563871563550954,0.380515923971346,-0.21000406651797,-0.230202440133687,0.261665096290504,-0.477263596768297,-0.32174973038714,-0.604944928273047,4.79884292906158,-0.117135924570529,0.163259953097486,0.662345621021671,-0.159832626344729,-0.156670256890093,0.0322233538963947,-0.189546554166117,-0.250706438343652,1.64605710296883
"ECASYN-PWY: enterobacterial common antigen biosynthesis",0.270947583941411,-0.679263732686441,0.258831108530206,-0.0842660522809576,0.260237486527064,1.53369228901649,-0.358907928419727,-0.0440906265208668,10.0569079912494,-0.149909214728732,-0.509524899664308,0.438917230244877,-0.759935598852276,0.814312772956424,0.68333055812988,-0.663432810142744,0.677440124448774,6.71358353438104,-0.155865279361343,-0.58733045303566,-0.145261727810642,0.713154386870849,0.377674973793463,-0.435480832823341,-0.425895465499619,0.0966161398565642,4.59889027516846
"ENTBACSYN-PWY: enterobactin biosynthesis",0.481099004474894,-0.306740240563949,0.556299540292253,0.205343441346143,0.444415244350871,1.14795343154708,-0.056929909584068,-0.21044076867973,12.929229865944,0.355932014487137,0.0777495240853606,0.227203358276995,-0.362714914040687,0.709973977847151,0.517920559183234,-0.405858440411127,0.0252073534172889,10.8808020801901,-0.140254059498537,-0.403625500148154,-0.349306410975218,0.349350465098275,0.615270443120223,-0.939222573220854,-0.354647151068773,0.138988737218086,2.39170430141105
"FAO-PWY: fatty acid &beta;-oxidation I",-0.426014477040509,-0.112373775040235,0.885520636565504,0.38259105573127,0.755736455845949,1.1202771026,-0.198261953308545,0.0917574583062411,6.24800920305371,-0.653415364579651,-0.559572381455063,0.526000232082911,0.284584034689236,-0.420397625332194,0.961979189585522,0.0326732337980071,0.280137597367654,1.62095156087348,0.0430193581505875,-0.0414506310977158,-0.374192835881508,-0.494120381384748,-0.388769966078947,0.262105579318202,-0.76109971067149,0.703253218644788,0.214680710667368
"FASYN-ELONG-PWY: fatty acid elongation -- saturated",0.457018968382889,-0.192890482586132,0.886887715995232,0.45778855286245,0.941041988535207,1.42153872554956,-0.0194117278133275,0.0982623972817255,11.4697410225618,-0.176063278634954,0.287437963321916,0.862039983401915,0.194268038436727,1.00102329240378,0.0100050524896476,-0.142845009550228,0.29523184529445,3.96853625686238,-0.434820257672037,-0.559187402358306,-0.08103647530778,0.509928452516097,1.53245814132298,-0.0802142564613227,0.0579035968797459,0.47722503065815,1.77225531607627
"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)",0.312533046785969,-0.369162230685886,0.879790805299807,0.361100399791849,0.907588470789367,1.41252461749263,0.000641622390730252,0.128931882248056,8.11756831390154,-0.273046427570396,0.312801166433572,0.930397576696301,0.255411555581702,1.00243655721333,0.0722480354999287,-0.094372371765931,0.437847914582918,4.01121030180348,-0.375404617813406,-0.661643379510272,0.066427126170742,1.10892248631045,1.09041812953458,-0.481467814309848,0.389326667260665,0.528877528177659,0.0609094529688458
"FERMENTATION-PWY: mixed acid fermentation",0.498264846959623,-0.100063947996329,0.478506982426701,0.659082980606587,0.631160571196986,1.59743631358189,0.289581538301459,-0.188169556378246,6.51665846252804,0.0220885344894435,0.02722390515305,-0.328410684288752,0.454522822472726,0.454209375256005,0.595867401450732,0.160450697985976,0.504509732800636,4.05273569366099,-0.485985243534714,-1.35480120329368,-0.19248345225946,0.161950997487658,0.00569226316317111,0.083136413401476,-0.471935776076761,1.58332559015037,0.000228771320281865
"FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage",0.126072162999588,-0.708435810347573,0.00736905713930234,0.0807945736086608,0.349857184560176,1.79089004151809,-1.03575694416351,-0.0549966476984253,11.726449296944,-0.27253665164233,0.0227504922119027,0.0112406436179362,0.0545370444801317,1.4316824407929,0.352955940289922,-1.13939065207789,0.323075967080024,9.71353552325644,-0.331491091654815,-0.850025993148223,-0.0442618564118531,0.216716794258482,-0.0403430753652299,-0.371731829554985,-1.54811266024326,0.439154478269321,1.52348390795749
"FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation",0.541350014899315,-0.696256401495277,0.589786568976927,0.354113632719172,0.454168843374521,1.42309993103752,-0.0578086361896729,-0.171822478540891,14.7121445050608,0.0383431824775969,0.0304271317995075,0.0945281709344102,-0.03872713667099,0.797488980502666,0.321739811530167,-0.0762896562842825,0.379868944075783,11.7077900756443,0.1005711009527,-0.775532403527789,-0.188206069159824,0.908529571765186,0.22262296067556,-0.0897552814907345,0.623115478704399,-0.0111460957081165,4.29959207892577
"FUCCAT-PWY: fucose degradation",0.0738507172031159,-0.875443980828752,0.199566762485557,0.463022987033001,-0.0268001644625117,0.498015992752007,-0.162395788425133,0.162337169505032,5.93393708468864,-0.195101653047944,-0.204943134004122,0.181880642098908,-0.211751188472882,0.732951550654093,0.0848409696882975,-0.214673474422679,0.777672235550891,8.00326183227074,0.239093956039873,-0.558828790166775,0.0594878445994741,0.21829195282552,0.2944785727317,-0.0227800619037929,-0.0559654729055713,-0.093943652201015,0.915891872903613
"GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation",0.336734335242785,2.40957512936305,-0.19290067591342,-0.591706533498167,0.931748659360336,0.708308830860073,-0.0966959200154497,-0.939535460030227,11.5940768574746,0.162581073428995,0.321896113043992,-0.171150459969551,-1.07168481112673,1.2838062781536,-0.112117684214265,-0.201046319336203,-0.0252789364989017,11.1151956187629,-0.0694103437728103,0.05450915538293,0.25725438746579,0.623375612883726,0.497252178820923,-0.358180573309263,0.552560528186379,0.442076345260084,0.000258806088131711
"GALACTARDEG-PWY: D-galactarate degradation I",0.413269393301396,-0.468747124294742,0.0679555288723422,-0.206564158446767,0.874874589307977,2.28466577436944,-0.304791811360003,0.169023636659435,2.89281589434024,-0.22719694930484,0.251364163956347,0.376601386058264,-0.231274365000517,0.405148990872995,1.76151078964315,-0.417030793184034,0.0929394134516565,9.28042531441516,0.220008278354672,0.397129418471088,-0.14486495999384,0.787063875043075,-0.0140838916951143,0.250348010724265,-0.753351772254464,0.207289581249342,1.22896510823848
"GALACTUROCAT-PWY: D-galacturonate degradation I",0.486824702745218,2.23085965240671,-0.262204257264373,-0.403973473780714,0.693385726043283,0.609185904031942,-0.00849339973366969,-0.901596398094758,11.9137446898702,0.0213580551028043,0.098247221177584,-0.0641126713068243,-0.800091655221086,1.06829105569868,0.00372594368166378,-0.162532126230232,0.224553687294688,10.210222695747,-0.944378780960868,-0.0665550673439776,0.529088243568355,0.197374257535401,0.125906426951506,-0.177035148324856,0.117255689839521,0.969798267935657,0.370537819726118
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",0.0134640771062247,1.16954087855671,0.00936720080338322,-0.53154008304584,0.622429325678324,0.346247803528017,-0.0951576164839186,-0.305337006760554,11.7064662476663,0.96118598320909,3.30511495127788,-0.0292452538700997,-0.683844497034176,0.854893704774698,-0.233817473684641,-0.314287994932339,-1.81724219175996,8.93588531194236,-0.146703199773541,0.872800542163827,0.349394425952576,0.84514404690737,0.00599938705737751,-0.240143236714398,-0.681400767834148,-0.0692377394740191,0.978953213340955
"GLUCARDEG-PWY: D-glucarate degradation I",0.45323578759551,-0.546210120007233,0.251424465405068,-0.372027864569472,0.501911612031209,3.14831122934322,-0.145366216435518,-0.0425719593337986,6.28599725787233,-0.429235438762839,-0.104786088471553,0.569095351043226,-0.305737649179057,0.330127860066187,1.95288745046645,-0.300733382809048,0.276976566937977,8.48076535073665,0.151552234112774,0.326732795696273,-0.361303812270339,1.54172209486605,-0.509488265782213,0.578143411696886,-0.295441403098854,0.147543754006553,0.0738956598980605
"GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation",0.413269393301396,-0.468747124294742,0.0679555288723422,-0.206564158446767,0.874874589307977,2.28466577436944,-0.304791811360003,0.169023636659435,2.89281589434024,-0.22719694930484,0.251364163956347,0.376601386058264,-0.231274365000517,0.405148990872995,1.76151078964315,-0.417030793184034,0.0929394134516565,9.28042531441516,0.220008278354672,0.397129418471088,-0.14486495999384,0.787063875043075,-0.0140838916951143,0.250348010724265,-0.753351772254464,0.207289581249342,1.22896510823848
"GLUCONEO-PWY: gluconeogenesis I",-0.11499474107476,-0.182091132147377,-0.116230385644153,1.10495260102308,0.775029399870389,-0.525558796192663,0.0624386253177982,0.248378980542954,10.995044492993,-0.165834642399388,0.0391091063661933,0.0985735527420756,0.655966582331202,0.159834703538755,-0.179714659344885,0.271690498948605,0.224700798666538,11.4363386027514,0.204944904346184,0.449823344463237,-0.227101441406132,0.125248899654213,0.330402730903525,-0.822316444242935,0.418188693310701,-0.0421813630069177,0.000243834120568214
"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation",0.793800698298277,-0.179633628884909,0.38636531684048,-0.0255061130346074,0.411512288366697,1.34512918164617,0.0959475465447176,-0.160053977654513,13.0826283142967,0.0219707694944072,0.303321564378847,0.187647606152105,-0.218481210770015,1.30910179633131,0.16976424469957,-0.0649758048543902,0.318571927816919,12.6603170990913,0.171136777114004,-0.127810675803974,0.904835346645788,0.291151153443755,0.361993805766973,0.0596708070225085,-0.0539721416306874,0.206326090415504,0.000294743617211865
"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation",0.212358283246761,2.46814074901095,-0.14638246304863,-0.708323408580141,0.779534201336268,0.639833964296642,-0.0640000245021253,-0.916576897816987,12.5607509429558,0.14237489590891,0.336315471537413,-0.0579471541213703,-1.068130291574,1.33015069752473,-0.21131228405619,-0.363597972493511,-0.0296376001221305,11.7162631019652,-0.109331699134208,0.0902004599227943,0.0502216235182539,0.905592907824968,0.533618248983495,-0.34459571583772,0.559994369756573,0.240652778623241,0.000284285123169708
"GLUDEG-I-PWY: GABA shunt",0.179630560008388,-1.10254815935391,0.166395888861005,0.686085673303976,-1.15221710792576,0.482451744316009,-1.85726990762824,0.221144498693491,9.68167739325625,-1.18458282551428,-0.772048668944063,0.366766146421992,1.24627743942928,-0.0553233378421044,-0.152939243609784,-0.216643930602901,1.17100817382798,3.94864853885164,0.463228979775072,0.134904768758618,0.135128870594179,0.158423224411088,0.0992983972205798,-0.797005647231278,-0.121156711529778,-0.290450443945915,1.49313411284538
"GLUTORN-PWY: L-ornithine biosynthesis",0.535145153230467,0.325828399618997,0.374199931595998,0.680372965639525,0.281500188435357,1.06206430036425,0.246198630104521,-0.426893778104985,2.67435311737565,-0.88331683582946,-1.54345679497651,1.09312455749973,0.656169465125713,-0.0277424216994776,1.07921533254119,-0.337906287899639,1.66039370925829,2.56512773392389,-0.0264583130839808,-0.183992464144453,0.231995081306988,0.43591021875425,-0.0298780429382291,0.0535108157247052,-0.318089576090621,1.19959825671466,0.000342881478761468
"GLYCOCAT-PWY: glycogen degradation I (bacterial)",-0.18671457888437,-0.237228798328285,0.460574281483533,-1.09980145006465,0.262838093932572,1.16059164425943,-1.26771774755744,0.197226757604512,9.89043854162864,-1.97572361423887,-0.691398970747799,0.066106811987064,-0.115363479617246,1.20024640569825,0.401365430565967,-0.183695482946937,1.55402073778667,5.19307580766982,-0.570727506306002,-2.51969455165947,-0.996976132865537,-0.427205673657627,-0.168031805131124,-0.281720159288219,0.432693613127436,0.988521975601687,0.000239878532656006
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)",-0.575356220169379,-0.409824009876568,0.195185944425636,0.315082850174563,0.289803445410937,0.179508889473723,0.0109483392857109,0.306469607281281,6.11169275895052,-0.239187275211841,-1.10170238328532,-0.529356800630662,0.214975091733832,0.685261023205509,0.175994192826389,-0.38068550404541,0.631005346746899,6.49691634652116,-0.206997065627971,-0.135455207948693,0.137876774473103,-0.321265927622648,-0.518639090806322,0.093797915118836,-0.704486704592026,0.340490476434656,0.636566122068528
